# ---------------------------------- WARNING ----------------------------------------
# Provisional data are subject to revision. Go to
# http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-04-06 11:49:27 -04:00	(natwebcaas01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 10128500 WEBER RIVER NEAR OAKLEY, UT
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
# IV_TS_ID - An internal number representing the Instantaneous Value time series from which the daily statistic is calculated.
#
# Data provided for site 10128500
#    TS_ID       Parameter    Statistic  IV_TS_ID       Description
#    143489      00060        00003      144284         Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been edited or estimated by USGS personnel and is write protected.
#     P  Provisional data subject to revision.
#     Ice  Ice affected
#
agency_cd	site_no	datetime	143489_00060_00003	143489_00060_00003_cd
USGS	10128500	1905-07-02	258	A
USGS	10128500	1905-07-03	241	A
USGS	10128500	1905-07-04	225	A
USGS	10128500	1905-07-05	209	A
USGS	10128500	1905-07-06	194	A
USGS	10128500	1905-07-07	194	A
USGS	10128500	1905-07-08	180	A
USGS	10128500	1905-07-09	180	A
USGS	10128500	1905-07-10	180	A
USGS	10128500	1905-07-11	167	A
USGS	10128500	1905-07-12	167	A
USGS	10128500	1905-07-13	154	A
USGS	10128500	1905-07-14	154	A
USGS	10128500	1905-07-15	167	A
USGS	10128500	1905-07-16	154	A
USGS	10128500	1905-07-17	142	A
USGS	10128500	1905-07-18	142	A
USGS	10128500	1905-07-19	142	A
USGS	10128500	1905-07-20	130	A
USGS	10128500	1905-07-21	130	A
USGS	10128500	1905-07-22	130	A
USGS	10128500	1905-07-23	130	A
USGS	10128500	1905-07-24	120	A
USGS	10128500	1905-07-25	109	A
USGS	10128500	1905-07-26	100	A
USGS	10128500	1905-07-27	100	A
USGS	10128500	1905-07-28	90	A
USGS	10128500	1905-07-29	90	A
USGS	10128500	1905-07-30	90	A
USGS	10128500	1905-07-31	90	A
USGS	10128500	1905-08-01	90	A
USGS	10128500	1905-08-02	90	A
USGS	10128500	1905-08-03	90	A
USGS	10128500	1905-08-04	90	A
USGS	10128500	1905-08-05	90	A
USGS	10128500	1905-08-06	90	A
USGS	10128500	1905-08-07	90	A
USGS	10128500	1905-08-08	73	A
USGS	10128500	1905-08-09	73	A
USGS	10128500	1905-08-10	73	A
USGS	10128500	1905-08-11	73	A
USGS	10128500	1905-08-12	73	A
USGS	10128500	1905-08-13	73	A
USGS	10128500	1905-08-14	73	A
USGS	10128500	1905-08-15	66	A
USGS	10128500	1905-08-16	66	A
USGS	10128500	1905-08-17	66	A
USGS	10128500	1905-08-18	66	A
USGS	10128500	1905-08-19	66	A
USGS	10128500	1905-08-20	66	A
USGS	10128500	1905-08-21	66	A
USGS	10128500	1905-08-22	58	A
USGS	10128500	1905-08-23	58	A
USGS	10128500	1905-08-24	58	A
USGS	10128500	1905-08-25	58	A
USGS	10128500	1905-08-26	58	A
USGS	10128500	1905-08-27	58	A
USGS	10128500	1905-08-28	58	A
USGS	10128500	1905-08-29	58	A
USGS	10128500	1905-08-30	58	A
USGS	10128500	1905-08-31	58	A
USGS	10128500	1905-09-01	52	A
USGS	10128500	1905-09-02	52	A
USGS	10128500	1905-09-03	52	A
USGS	10128500	1905-09-04	52	A
USGS	10128500	1905-09-05	52	A
USGS	10128500	1905-09-06	52	A
USGS	10128500	1905-09-07	58	A
USGS	10128500	1905-09-08	58	A
USGS	10128500	1905-09-09	58	A
USGS	10128500	1905-09-10	58	A
USGS	10128500	1905-09-11	58	A
USGS	10128500	1905-09-12	58	A
USGS	10128500	1905-09-13	58	A
USGS	10128500	1905-09-14	58	A
USGS	10128500	1905-09-15	58	A
USGS	10128500	1905-09-16	58	A
USGS	10128500	1905-09-17	58	A
USGS	10128500	1905-09-18	58	A
USGS	10128500	1905-09-19	58	A
USGS	10128500	1905-09-20	58	A
USGS	10128500	1905-09-21	58	A
USGS	10128500	1905-09-22	58	A
USGS	10128500	1905-09-23	58	A
USGS	10128500	1905-09-24	58	A
USGS	10128500	1905-09-25	58	A
USGS	10128500	1905-09-26	58	A
USGS	10128500	1905-09-27	58	A
USGS	10128500	1905-09-28	66	A
USGS	10128500	1905-09-29	73	A
USGS	10128500	1905-09-30	100	A
USGS	10128500	1905-10-01	100	A
USGS	10128500	1905-10-02	90	A
USGS	10128500	1905-10-03	90	A
USGS	10128500	1905-10-04	82	A
USGS	10128500	1905-10-05	82	A
USGS	10128500	1905-10-06	73	A
USGS	10128500	1905-10-07	73	A
USGS	10128500	1905-10-08	73	A
USGS	10128500	1905-10-09	73	A
USGS	10128500	1905-10-10	73	A
USGS	10128500	1905-10-11	73	A
USGS	10128500	1905-10-12	73	A
USGS	10128500	1905-10-13	73	A
USGS	10128500	1905-10-14	73	A
USGS	10128500	1905-10-15	73	A
USGS	10128500	1905-10-16	73	A
USGS	10128500	1905-10-17	73	A
USGS	10128500	1905-10-18	73	A
USGS	10128500	1905-10-19	73	A
USGS	10128500	1905-10-20	73	A
USGS	10128500	1905-10-21	73	A
USGS	10128500	1905-10-22	73	A
USGS	10128500	1905-10-23	73	A
USGS	10128500	1905-10-24	66	A
USGS	10128500	1905-10-25	66	A
USGS	10128500	1905-10-26	58	A
USGS	10128500	1905-10-27	58	A
USGS	10128500	1905-10-28	58	A
USGS	10128500	1905-10-29	66	A
USGS	10128500	1905-10-30	66	A
USGS	10128500	1905-10-31	66	A
USGS	10128500	1905-11-01	66	A
USGS	10128500	1905-11-02	66	A
USGS	10128500	1905-11-03	66	A
USGS	10128500	1905-11-04	66	A
USGS	10128500	1905-11-05	66	A
USGS	10128500	1905-11-06	66	A
USGS	10128500	1905-11-07	66	A
USGS	10128500	1905-11-08	58	A
USGS	10128500	1905-11-09	58	A
USGS	10128500	1905-11-10	58	A
USGS	10128500	1905-11-11	58	A
USGS	10128500	1905-11-12	58	A
USGS	10128500	1905-11-13	58	A
USGS	10128500	1905-11-14	58	A
USGS	10128500	1905-11-15	58	A
USGS	10128500	1905-11-16	58	A
USGS	10128500	1905-11-17	58	A
USGS	10128500	1905-11-18	58	A
USGS	10128500	1905-11-19	58	A
USGS	10128500	1905-11-20	58	A
USGS	10128500	1905-11-21	58	A
USGS	10128500	1905-11-22	58	A
USGS	10128500	1905-11-23	58	A
USGS	10128500	1905-11-24	58	A
USGS	10128500	1905-11-25	58	A
USGS	10128500	1905-11-26	58	A
USGS	10128500	1905-11-27	58	A
USGS	10128500	1905-11-28	58	A
USGS	10128500	1905-11-29	58	A
USGS	10128500	1905-11-30	58	A
USGS	10128500	1905-12-01	52	A
USGS	10128500	1905-12-02	46	A
USGS	10128500	1905-12-03	46	A
USGS	10128500	1905-12-04	46	A
USGS	10128500	1905-12-05	45	A
USGS	10128500	1905-12-06	45	A
USGS	10128500	1905-12-07	45	A
USGS	10128500	1905-12-08	45	A
USGS	10128500	1905-12-09	45	A
USGS	10128500	1905-12-10	45	A
USGS	10128500	1905-12-11	45	A
USGS	10128500	1905-12-12	45	A
USGS	10128500	1905-12-13	45	A
USGS	10128500	1905-12-14	45	A
USGS	10128500	1905-12-15	45	A
USGS	10128500	1905-12-16	45	A
USGS	10128500	1905-12-17	45	A
USGS	10128500	1905-12-18	45	A
USGS	10128500	1905-12-19	45	A
USGS	10128500	1905-12-20	45	A
USGS	10128500	1905-12-21	45	A
USGS	10128500	1905-12-22	45	A
USGS	10128500	1905-12-23	45	A
USGS	10128500	1905-12-24	45	A
USGS	10128500	1905-12-25	45	A
USGS	10128500	1905-12-26	45	A
USGS	10128500	1905-12-27	45	A
USGS	10128500	1905-12-28	45	A
USGS	10128500	1905-12-29	45	A
USGS	10128500	1905-12-30	45	A
USGS	10128500	1905-12-31	45	A
USGS	10128500	1906-01-01	43	A
USGS	10128500	1906-01-02	43	A
USGS	10128500	1906-01-03	43	A
USGS	10128500	1906-01-04	43	A
USGS	10128500	1906-01-05	43	A
USGS	10128500	1906-01-06	43	A
USGS	10128500	1906-01-07	43	A
USGS	10128500	1906-01-08	43	A
USGS	10128500	1906-01-09	43	A
USGS	10128500	1906-01-10	43	A
USGS	10128500	1906-01-11	43	A
USGS	10128500	1906-01-12	43	A
USGS	10128500	1906-01-13	43	A
USGS	10128500	1906-01-14	43	A
USGS	10128500	1906-01-15	43	A
USGS	10128500	1906-01-16	43	A
USGS	10128500	1906-01-17	43	A
USGS	10128500	1906-01-18	43	A
USGS	10128500	1906-01-19	43	A
USGS	10128500	1906-01-20	43	A
USGS	10128500	1906-01-21	43	A
USGS	10128500	1906-01-22	43	A
USGS	10128500	1906-01-23	43	A
USGS	10128500	1906-01-24	43	A
USGS	10128500	1906-01-25	43	A
USGS	10128500	1906-01-26	43	A
USGS	10128500	1906-01-27	43	A
USGS	10128500	1906-01-28	43	A
USGS	10128500	1906-01-29	43	A
USGS	10128500	1906-01-30	43	A
USGS	10128500	1906-01-31	43	A
USGS	10128500	1906-02-01	40	A
USGS	10128500	1906-02-02	40	A
USGS	10128500	1906-02-03	40	A
USGS	10128500	1906-02-04	40	A
USGS	10128500	1906-02-05	40	A
USGS	10128500	1906-02-06	40	A
USGS	10128500	1906-02-07	40	A
USGS	10128500	1906-02-08	40	A
USGS	10128500	1906-02-09	40	A
USGS	10128500	1906-02-10	40	A
USGS	10128500	1906-02-11	40	A
USGS	10128500	1906-02-12	40	A
USGS	10128500	1906-02-13	40	A
USGS	10128500	1906-02-14	40	A
USGS	10128500	1906-02-15	40	A
USGS	10128500	1906-02-16	40	A
USGS	10128500	1906-02-17	40	A
USGS	10128500	1906-02-18	40	A
USGS	10128500	1906-02-19	40	A
USGS	10128500	1906-02-20	40	A
USGS	10128500	1906-02-21	40	A
USGS	10128500	1906-02-22	40	A
USGS	10128500	1906-02-23	40	A
USGS	10128500	1906-02-24	40	A
USGS	10128500	1906-02-25	40	A
USGS	10128500	1906-02-26	40	A
USGS	10128500	1906-02-27	40	A
USGS	10128500	1906-02-28	40	A
USGS	10128500	1906-03-01	40	A
USGS	10128500	1906-03-02	40	A
USGS	10128500	1906-03-03	40	A
USGS	10128500	1906-03-04	40	A
USGS	10128500	1906-03-05	40	A
USGS	10128500	1906-03-06	40	A
USGS	10128500	1906-03-07	40	A
USGS	10128500	1906-03-08	40	A
USGS	10128500	1906-03-09	40	A
USGS	10128500	1906-03-10	40	A
USGS	10128500	1906-03-11	45	A
USGS	10128500	1906-03-12	45	A
USGS	10128500	1906-03-13	45	A
USGS	10128500	1906-03-14	45	A
USGS	10128500	1906-03-15	45	A
USGS	10128500	1906-03-16	45	A
USGS	10128500	1906-03-17	45	A
USGS	10128500	1906-03-18	45	A
USGS	10128500	1906-03-19	45	A
USGS	10128500	1906-03-20	45	A
USGS	10128500	1906-03-21	55	A
USGS	10128500	1906-03-22	55	A
USGS	10128500	1906-03-23	55	A
USGS	10128500	1906-03-24	55	A
USGS	10128500	1906-03-25	55	A
USGS	10128500	1906-03-26	65	A
USGS	10128500	1906-03-27	65	A
USGS	10128500	1906-03-28	65	A
USGS	10128500	1906-03-29	65	A
USGS	10128500	1906-03-30	65	A
USGS	10128500	1906-03-31	73	A
USGS	10128500	1906-04-01	73	A
USGS	10128500	1906-04-02	73	A
USGS	10128500	1906-04-03	73	A
USGS	10128500	1906-04-04	73	A
USGS	10128500	1906-04-05	66	A
USGS	10128500	1906-04-06	73	A
USGS	10128500	1906-04-07	73	A
USGS	10128500	1906-04-08	82	A
USGS	10128500	1906-04-09	90	A
USGS	10128500	1906-04-10	109	A
USGS	10128500	1906-04-11	130	A
USGS	10128500	1906-04-12	115	A
USGS	10128500	1906-04-13	115	A
USGS	10128500	1906-04-14	130	A
USGS	10128500	1906-04-15	142	A
USGS	10128500	1906-04-16	154	A
USGS	10128500	1906-04-17	180	A
USGS	10128500	1906-04-18	209	A
USGS	10128500	1906-04-19	225	A
USGS	10128500	1906-04-20	241	A
USGS	10128500	1906-04-21	275	A
USGS	10128500	1906-04-22	352	A
USGS	10128500	1906-04-23	516	A
USGS	10128500	1906-04-24	490	A
USGS	10128500	1906-04-25	352	A
USGS	10128500	1906-04-26	275	A
USGS	10128500	1906-04-27	180	A
USGS	10128500	1906-04-28	180	A
USGS	10128500	1906-04-29	209	A
USGS	10128500	1906-04-30	209	A
USGS	10128500	1906-05-01	225	A
USGS	10128500	1906-05-02	241	A
USGS	10128500	1906-05-03	275	A
USGS	10128500	1906-05-04	352	A
USGS	10128500	1906-05-05	441	A
USGS	10128500	1906-05-06	490	A
USGS	10128500	1906-05-07	542	A
USGS	10128500	1906-05-08	597	A
USGS	10128500	1906-05-09	716	A
USGS	10128500	1906-05-10	780	A
USGS	10128500	1906-05-11	917	A
USGS	10128500	1906-05-12	1070	A
USGS	10128500	1906-05-13	847	A
USGS	10128500	1906-05-14	780	A
USGS	10128500	1906-05-15	716	A
USGS	10128500	1906-05-16	597	A
USGS	10128500	1906-05-17	542	A
USGS	10128500	1906-05-18	542	A
USGS	10128500	1906-05-19	716	A
USGS	10128500	1906-05-20	917	A
USGS	10128500	1906-05-21	1070	A
USGS	10128500	1906-05-22	1140	A
USGS	10128500	1906-05-23	1140	A
USGS	10128500	1906-05-24	1230	A
USGS	10128500	1906-05-25	917	A
USGS	10128500	1906-05-26	847	A
USGS	10128500	1906-05-27	917	A
USGS	10128500	1906-05-28	1310	A
USGS	10128500	1906-05-29	990	A
USGS	10128500	1906-05-30	917	A
USGS	10128500	1906-05-31	780	A
USGS	10128500	1906-06-01	716	A
USGS	10128500	1906-06-02	847	A
USGS	10128500	1906-06-03	847	A
USGS	10128500	1906-06-04	917	A
USGS	10128500	1906-06-05	1070	A
USGS	10128500	1906-06-06	1140	A
USGS	10128500	1906-06-07	917	A
USGS	10128500	1906-06-08	780	A
USGS	10128500	1906-06-09	814	A
USGS	10128500	1906-06-10	917	A
USGS	10128500	1906-06-11	1400	A
USGS	10128500	1906-06-12	1850	A
USGS	10128500	1906-06-13	2480	A
USGS	10128500	1906-06-14	2120	A
USGS	10128500	1906-06-15	1760	A
USGS	10128500	1906-06-16	2210	A
USGS	10128500	1906-06-17	1490	A
USGS	10128500	1906-06-18	1310	A
USGS	10128500	1906-06-19	1310	A
USGS	10128500	1906-06-20	1070	A
USGS	10128500	1906-06-21	1140	A
USGS	10128500	1906-06-22	1070	A
USGS	10128500	1906-06-23	990	A
USGS	10128500	1906-06-24	917	A
USGS	10128500	1906-06-25	655	A
USGS	10128500	1906-06-26	716	A
USGS	10128500	1906-06-27	716	A
USGS	10128500	1906-06-28	814	A
USGS	10128500	1906-06-29	716	A
USGS	10128500	1906-06-30	686	A
USGS	10128500	1906-07-01	748	A
USGS	10128500	1906-07-02	716	A
USGS	10128500	1906-07-03	716	A
USGS	10128500	1906-07-04	655	A
USGS	10128500	1906-07-05	686	A
USGS	10128500	1906-07-06	686	A
USGS	10128500	1906-07-07	597	A
USGS	10128500	1906-07-08	597	A
USGS	10128500	1906-07-09	542	A
USGS	10128500	1906-07-10	566	A
USGS	10128500	1906-07-11	566	A
USGS	10128500	1906-07-12	441	A
USGS	10128500	1906-07-13	466	A
USGS	10128500	1906-07-14	418	A
USGS	10128500	1906-07-15	395	A
USGS	10128500	1906-07-16	395	A
USGS	10128500	1906-07-17	378	A
USGS	10128500	1906-07-18	378	A
USGS	10128500	1906-07-19	352	A
USGS	10128500	1906-07-20	352	A
USGS	10128500	1906-07-21	332	A
USGS	10128500	1906-07-22	312	A
USGS	10128500	1906-07-23	275	A
USGS	10128500	1906-07-24	258	A
USGS	10128500	1906-07-25	209	A
USGS	10128500	1906-07-26	209	A
USGS	10128500	1906-07-27	194	A
USGS	10128500	1906-07-28	180	A
USGS	10128500	1906-07-29	167	A
USGS	10128500	1906-07-30	154	A
USGS	10128500	1906-07-31	154	A
USGS	10128500	1906-08-01	154	A
USGS	10128500	1906-08-02	167	A
USGS	10128500	1906-08-03	167	A
USGS	10128500	1906-08-04	154	A
USGS	10128500	1906-08-05	154	A
USGS	10128500	1906-08-06	142	A
USGS	10128500	1906-08-07	130	A
