,RES1 Smith And Morehouse.Storage,RES2 Rockport.Storage,RES3 Echo.Storage,RES4 Lost Creek.Storage,RES5 East Canyon.Storage,RES6 Causey.Storage,RES7 Pineview.Storage,RES8 Willard Bay.Storage,RES9 Gravel Pit.Storage,RES10 Chalk Creek.Storage,Protected Pools.Pineview,Protected Pools.East Canyon,Weber Provo Diversion:SA1 Weber Provo Canal.Diversion,Oakley Diversion:SA2 Oakley to Wanship.Diversion,Wanship Diversion:SA3 Wanship to Echo.Diversion,Echo to Devils Slide Diversion:SA4 Echo to Devils Slide.Diversion,Lost Creek Diversion:SA5 Lost Creek.Diversion,Devils Slide to Stoddard Diversion:SA6 Devils Slide to Stodard.Diversion,Park City Diversion:SA7 Park City.Diversion,East Canyon Diversion:SA8 East Canyon.Diversion,Stoddard To Gateway Diversion:SA9 Stoddard To Gateway.Diversion,Gateway Canal Diversion:SA10 Gateway Canal.Diversion,Davis Weber Canal Diversion:SA11 Davis Weber Canal.Diversion,Weber Basin Project Ogden Valley:SA12 Weber Basin Project Ogden Valley.Diversion,Ogden Brigham and S Ogden Highline Canals:SA13 Ogden Brigham and S Ogden Highline Canals.Diversion,Ogden River Below Pineview Diversion:SA14 Ogden River Below Pineview.Diversion,Slaterville Diversion:SA15 Slaterville.Diversion,Warren Canal Diversion:SA16 Warren Canal.Diversion,Ogden Bay Bird Refuge Diversion:SA17 Ogden Bay Bird Refuge.Diversion,GSL Minerals Diversion:SA18 GSL Minerals.Diversion,Gateway To Slaterville Diversion:SA19 Gateway To Slaterville.Diversion,Additional WB Demand Diversion:SA20 Additional WB Demand.Diversion,Weber Provo Diversion:SA1 Weber Provo Canal.Diversion Requested,Oakley Diversion:SA2 Oakley to Wanship.Diversion Requested,Wanship Diversion:SA3 Wanship to Echo.Diversion Requested,Echo to Devils Slide Diversion:SA4 Echo to Devils Slide.Diversion Requested,Lost Creek Diversion:SA5 Lost Creek.Diversion Requested,Devils Slide to Stoddard Diversion:SA6 Devils Slide to Stodard.Diversion Requested,Park City Diversion:SA7 Park City.Diversion Requested,East Canyon Diversion:SA8 East Canyon.Diversion Requested,Stoddard To Gateway Diversion:SA9 Stoddard To Gateway.Diversion Requested,Gateway Canal Diversion:SA10 Gateway Canal.Diversion Requested,Davis Weber Canal Diversion:SA11 Davis Weber Canal.Diversion Requested,Weber Basin Project Ogden Valley:SA12 Weber Basin Project Ogden Valley.Diversion Requested,Ogden Brigham and S Ogden Highline Canals:SA13 Ogden Brigham and S Ogden Highline Canals.Diversion Requested,Ogden River Below Pineview Diversion:SA14 Ogden River Below Pineview.Diversion Requested,Slaterville Diversion:SA15 Slaterville.Diversion Requested,Warren Canal Diversion:SA16 Warren Canal.Diversion Requested,Ogden Bay Bird Refuge Diversion:SA17 Ogden Bay Bird Refuge.Diversion Requested,GSL Minerals Diversion:SA18 GSL Minerals.Diversion Requested,Gateway To Slaterville Diversion:SA19 Gateway To Slaterville.Diversion Requested,Additional WB Demand Diversion:SA20 Additional WB Demand.Diversion Requested,Chalk Creek and Weber River Confluence.Inflow1,Davis Weber Canal Sources Confluence.Inflow1,East Canyon Creek and Weber River Confluence.Inflow1,Independent Streams Confluence.Inflow1,Lost Creek and Weber River Confluence.Inflow1,Ogden and Weber River Confluence.Inflow1,Q11 Reach Gain Confluence.Inflow1,Q20 Reach Gain Confluence.Inflow1,Q37 Reach Gain Confluence.Inflow1,Q46 Reach Gain Confluence.Inflow1,Q53 Reach Gain Confluence.Inflow1,Q57 Reach Gain Confluence.Inflow1,Q68 Sewage Outfall Confluence.Inflow1,Q8 Reach Gain Confluence.Inflow1,Q81 Reach Gain Confluence.Inflow1,Q82 Reach Gain Confluence.Inflow1,Smith And Morehouse and Weber River Confluence.Inflow1,Wells Confluence.Inflow1,Wheeler Creek and Ogden River Confluence.Inflow1,Willard Bay Releases and Weber River Confluence.Inflow1,Chalk Creek and Weber River Confluence.Inflow2,Davis Weber Canal Sources Confluence.Inflow2,East Canyon Creek and Weber River Confluence.Inflow2,Independent Streams Confluence.Inflow2,Lost Creek and Weber River Confluence.Inflow2,Ogden and Weber River Confluence.Inflow2,Q11 Reach Gain Confluence.Inflow2,Q20 Reach Gain Confluence.Inflow2,Q37 Reach Gain Confluence.Inflow2,Q46 Reach Gain Confluence.Inflow2,Q53 Reach Gain Confluence.Inflow2,Q57 Reach Gain Confluence.Inflow2,Q68 Sewage Outfall Confluence.Inflow2,Q8 Reach Gain Confluence.Inflow2,Q81 Reach Gain Confluence.Inflow2,Q82 Reach Gain Confluence.Inflow2,Smith And Morehouse and Weber River Confluence.Inflow2,Wells Confluence.Inflow2,Wheeler Creek and Ogden River Confluence.Inflow2,Willard Bay Releases and Weber River Confluence.Inflow2,Chalk Creek and Weber River Confluence.Outflow,Davis Weber Canal Sources Confluence.Outflow,East Canyon Creek and Weber River Confluence.Outflow,Independent Streams Confluence.Outflow,Lost Creek and Weber River Confluence.Outflow,Ogden and Weber River Confluence.Outflow,Q11 Reach Gain Confluence.Outflow,Q20 Reach Gain Confluence.Outflow,Q37 Reach Gain Confluence.Outflow,Q46 Reach Gain Confluence.Outflow,Q53 Reach Gain Confluence.Outflow,Q57 Reach Gain Confluence.Outflow,Q68 Sewage Outfall Confluence.Outflow,Q8 Reach Gain Confluence.Outflow,Q81 Reach Gain Confluence.Outflow,Q82 Reach Gain Confluence.Outflow,Smith And Morehouse and Weber River Confluence.Outflow,Wells Confluence.Outflow,Wheeler Creek and Ogden River Confluence.Outflow,Willard Bay Releases and Weber River Confluence.Outflow,WBWCD ASR.Inflow,WBWCD ASR.Outflow,WBWCD ASR.Percolation,WBWCD ASR.Pumped Flow,WBWCD ASR.Storage,New Res Confluence.Inflow1,New Res Confluence.Inflow2,New Res Confluence.Outflow
10/1/1984,8350,58577.31845,27256.20029,21238.18503,28382.75575,2093.079502,32011.15279,181640.9019,NaN,NaN,28921.42688,21057.91843,1587.539235,81.2,127,19.6,0,0,0,0,0,5050,5775,0,1032,267,3075,232,7260,1197,486,0,1587.539235,81.2,127,19.6,0,0,0,0,0,5050,5775,0,1032,267,3075,232,7260,1197,486,0,5716.70864,5775,450,4832.215313,0,310.5435191,3000,0,750,1311.476161,600,1767.545713,5492,3614.938216,910.5435191,3559.971715,4496.736375,3742.215313,748.2284179,3271.911423,1642.531727,0,300,217.7846869,450,600,2716.70864,0,4303.691474,5260.067358,1167.545713,0,2000,1869.98514,2361.367904,1932.028285,786.9410763,1090,118.7715821,3363.060292,7359.240367,5775,750,5050,450,910.5435191,5716.70864,0,5053.691474,6571.543519,1767.545713,1767.545713,7492,5484.923356,3271.911423,5492,5283.677451,4832.215313,867,6634.971715,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
11/1/1984,8350,61260,38107.92995,22322.64359,30895.50181,3193.624911,34602.97234,188340.9334,NaN,NaN,31514.57618,23570.6645,1846.403492,0,0,0,0,0,0,0,0,3030,0,0,0,0,0,0,8954,1026,243,0,1846.403492,0,0,0,0,0,0,0,0,3030,0,0,0,0,0,0,8954,1026,243,0,8307.946031,0,4734.862483,2777.596007,4284.862483,13827.95727,4863.485519,0,5034.862483,8634.927332,600,2484.197854,6954,4308.274814,14680.03153,6954,5007.261473,847.5960071,600,6954,2543.783628,0,300,252.4039929,450,852.0742682,3444.460512,4284.862483,4447.660856,5436.029935,1884.197854,707.6216978,2000,3237.892255,0,0,1147.416834,1930,252.0742682,0,10851.72966,0,5034.862483,3030,4734.862483,14680.03153,8307.946031,4284.862483,9482.523339,14070.95727,2484.197854,3191.819552,8954,7546.167069,14680.03153,6954,6154.678306,2777.596007,852.0742682,6954,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
12/1/1984,8350,61260,49742.40096,22510,32767.07267,4126.771137,36127.70774,197086.1357,NaN,NaN,33039.31158,25442.23536,1304.353103,0,0,0,0,0,0,0,0,3030,0,0,0,0,0,0,3569.5,735.3,243,0,1304.353103,0,0,0,0,0,0,0,0,3030,0,0,0,0,0,0,3569.5,735.3,243,0,9943.815543,0,2864.39918,2832.376522,1693.30392,10287.8808,6703.922515,0,3164.39918,5889.50882,600,2124.735405,1569.5,3043.490573,11050.00227,1569.5,3629.219265,1072.376522,600,1569.5,1690.655471,0,300,197.6234779,1171.09526,762.1214718,3239.893028,1693.30392,3797.486163,4641.371977,1524.735405,0,2000,3660.431942,0,0,718.6244098,1760,162.1214718,0,11634.47101,0,3164.39918,3030,2864.39918,11050.00227,9943.815543,1693.30392,6961.885343,10530.8808,2124.735405,2124.735405,3569.5,6703.922515,11050.00227,1569.5,4347.843675,2832.376522,762.1214718,1569.5,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
1/1/1985,8350,61260,59776.75072,22510,34650.2131,5019.60764,37796.19579,213905.1866,NaN,NaN,34707.79963,27325.37579,1194.169408,0,0,0,0,0,0,0,0,2020,0,0,0,0,0,0,1210,684,0,0,1194.169408,0,0,0,0,0,0,0,0,2020,0,0,0,0,0,0,1210,684,0,0,8375.840104,0,4514.021982,1833.321642,3291.558537,12315.09252,6333.200346,0,4814.021982,7615.67682,600,2268.488045,3593.228205,2786.395284,13111.32751,0,3079.58341,1043.321642,600,0,1658.509653,0,300,186.6783575,1222.463445,796.2349941,2042.639758,3291.558537,3844.976481,4699.415699,1668.488045,0,2000,3546.805062,4391.723362,3593.228205,900.9812816,790,196.2349941,0,10034.34976,0,4814.021982,2020,4514.021982,13111.32751,8375.840104,3291.558537,8658.998463,12315.09252,2268.488045,2268.488045,5593.228205,6333.200346,17503.05088,3593.228205,3980.564692,1833.321642,796.2349941,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
2/1/1985,8350,61260,69211.69337,22510,36977.46962,6028.443934,40592.1287,227302,NaN,NaN,37503.73254,29652.6323,1083.186478,0,0,0,0,0,0,0,0,3030,0,0,0,0,0,0,1149.5,684,0,0,1083.186478,0,0,0,0,0,0,0,0,3030,0,0,0,0,0,0,1149.5,684,0,0,7590.754978,0,5319.961223,2827.413557,3940.272549,19375.01168,5790.780091,0,5619.961223,10650.65647,600,3395.932912,0,2527.435116,20513.59958,0,2962.455859,2107.413557,600,0,1844.187672,0,300,202.5864434,1379.688674,1138.587894,1799.974887,3940.272549,7138.108808,8724.35521,2795.932912,0,2000,3263.344975,0,0,648.1657353,720,538.5878943,0,9434.94265,0,5619.961223,3030,5319.961223,20513.59958,7590.754978,3940.272549,12758.07003,19375.01168,3395.932912,3395.932912,2000,5790.780091,20513.59958,0,3610.621595,2827.413557,1138.587894,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
3/1/1985,8350,61260,73940,22510,44158.33904,7870,62836.30239,227302.1243,NaN,NaN,59747.90624,36833.50172,2310.769667,0,0,0,0,0,0,0,0,3030,0,0,0,0,0,0,1210,684,0,0,2310.769667,0,0,0,0,0,0,0,0,3030,0,0,0,0,0,0,1210,684,0,0,20194.5421,0,36195.18972,2810.873994,33689.12069,67682.24405,12815.85837,20796.89092,36495.18972,49346.38347,1891.419925,10030.935,8390.568101,5391.795889,69878.17141,8390.568101,6013.211139,2150.873994,600,8390.568101,5330.65545,0,300,219.1260055,2506.069034,2195.927356,7378.683728,12892.22977,15002.06775,18335.86058,8139.515077,12813.23869,2000,7424.062484,0,0,1689.354416,660,1595.927356,0,25525.19755,0,36495.18972,3030,36195.18972,69878.17141,20194.5421,33689.12069,51497.25747,67682.24405,10030.935,22844.1737,10390.5681,12815.85837,69878.17141,8390.568101,7702.565556,2810.873994,2195.927356,8390.568101,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
4/1/1985,8350,61260,73940,22510,51200,7870,110150,227302.9322,NaN,NaN,66150,22400,0,0,0,0,0,249,66,130,0,5050,1650,0,344,267,1025,0,6594.5,684,0,0,0,0,0,0,0,249,66,130,0,5050,1650,0,344,267,1025,0,6594.5,684,0,0,93728.23115,1650,239510.2696,4712.541004,220794.2715,316746.7809,42274.59611,114928.9698,252760.4531,280881.9031,17138.48457,49876.4679,301850.6435,35239.20056,362379.7757,301850.6435,24993.71601,2572.541004,41954.38132,302875.6435,21288.03864,0,13250.18356,337.4589965,18964.99806,45632.99482,51453.63504,105865.3017,30693.99095,37514.87783,32737.98334,39886.42105,2000,7165.293842,0,0,10245.48455,2140,3945.613502,0,115016.2698,1650,252760.4531,5050,239759.2696,362379.7757,93728.23115,220794.2715,283454.4441,318396.7809,49876.4679,89762.88895,303850.6435,42404.4944,362379.7757,301850.6435,35239.20056,4712.541004,45899.99482,302875.6435,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
5/1/1985,8350,61260,73940,22510,51200,7870,110150,227304.0506,NaN,NaN,66150,22400,19963.09119,10962,1905,1862,1548,4482,1320,2600,216,9090,10725,5072,3784,4005,13325,3944,9256.5,1539,3159,0,19963.09119,10962,1905,1862,1548,4482,1320,2600,216,9090,10725,5072,3784,4005,13325,3944,9256.5,1539,3159,0,57380.77492,10725,137320.3168,8670.069006,129421.3854,206664.6551,46355.3203,80672.00626,148805.9303,177126.8185,22895.12172,33925.41183,187515.1136,35590.12612,262327.7169,187515.1136,49223.61577,6990.069006,56671.24575,200840.1136,25444.23134,0,11485.61355,419.9309944,12380.93135,55663.06187,11025.45462,48749.37917,35526.95719,43421.83657,16102.29011,27104.63392,2000,14203.18849,0,0,17291.60154,1680,2996.816116,0,82825.00626,10725,148805.9303,9090,141802.3168,262327.7169,57380.77492,129421.3854,184332.8875,220548.6551,38997.41183,61030.04575,189515.1136,49793.31461,262327.7169,187515.1136,66515.21731,8670.069006,59668.06187,200840.1136,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
6/1/1985,6781.786414,55796.57113,58580.45084,20563.72103,43174.25615,2051.306762,85369.68179,215678.1579,NaN,NaN,52378.30078,19848.2644,5270.570263,13804,2921,2352,1806,5727,1650,3250,504,14140,14025,7291,5848,5340,22550,4872,6715.5,2223,4617,0,5270.570263,13804,2921,2352,1806,5727,1650,3250,504,14140,14025,7291,5848,5340,22550,4872,6715.5,2223,4617,0,3043.085091,14025,15197.52037,13624.31613,20924.52037,5487.462337,3000,15637.45359,20684.98271,15591.92467,5796.113225,0,6587.5,0,19299.76279,3928.215011,13279.45401,11574.31613,19034.90831,22550,122.0215579,0,5487.462337,515.6838748,0,13812.30045,43.08509143,5287.066782,6985.258088,8537.537663,1494.886775,1164.042615,5000,2512.09466,3250.237209,2659.284989,5795.116256,2050,117.3921443,3928.215011,3165.106649,14025,20684.98271,14140,20924.52037,19299.76279,3043.085091,20924.52037,27670.2408,24129.46234,7291,1164.042615,11587.5,2512.09466,22550,6587.5,19074.57026,13624.31613,19152.30045,26478.21501,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
7/1/1985,3767.206961,50602.41674,30283.92874,18760.60895,31596.63337,1000,56293.46482,199646.3244,NaN,NaN,38122.59741,17946.2127,2571.162061,8932,2921,2058,2236,5229,1320,2600,414,20200,18975,3606.138247,8944,6141,22550,5800,4900.5,3078,6075,0,2571.162061,8932,2921,2058,2236,5229,1320,2600,414,20200,18975,7639.7,8944,6141,22550,5800,4900.5,3078,6075,0,3737.870841,18975,26249.90899,19905.80803,31478.90899,9696.555527,3000,30491.3861,35946.46452,25468.11105,2825.374792,0,5700.5,0,23350,5700.5,7223.476247,17655.80803,19628.16551,23350,1167.140183,0,9696.555527,294.1919673,0,13653.44447,737.8708407,987.5228894,7591.454569,9278.444473,780.7634551,851.0086993,5000,2616.17381,0,0,4279.685814,2250,166.2789647,4900.5,4905.011024,18975,35946.46452,20200,31478.90899,23350,3737.870841,31478.90899,43537.91909,34746.55553,3606.138247,851.0086993,10700.5,2616.17381,23350,5700.5,11503.16206,19905.80803,19794.44447,28250.5,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
8/1/1985,3641.901301,46226.09179,6087.404273,17949.47558,21298.18274,1000,27507.45917,185616.2041,NaN,NaN,23702.21499,16568.34208,2062.205772,4872,2667,1960,1806,4980,1188,2340,378,19190,18150,2575.790698,8600,5874,23575,5104,4900.5,2736,5346,0,2062.205772,4872,2667,1960,1806,4980,1188,2340,378,19190,18150,6657,8600,5874,23575,5104,4900.5,2736,5346,0,4924.48388,18150,23934.39338,18920.56937,28914.39338,8915.403205,3000,27979.62695,32849.79658,23176.80641,1666.716563,0,5004.5,0,22768.90741,4344.969696,6042.273823,16850.56937,19620.34307,23575,1154.938481,0,8915.403205,269.4306314,0,13853.5042,1924.48388,934.7664258,7555.579196,9234.596795,909.0741354,302.3313327,5000,2952.920659,806.0925938,659.530304,891.9319488,2070,107.1611278,4344.969696,6079.422361,18150,32849.79658,19190,28914.39338,22768.90741,4924.48388,28914.39338,40405.37578,32411.40321,2575.790698,302.3313327,10004.5,2952.920659,23575,5004.5,6934.205772,18920.56937,19727.5042,27919.9697,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
9/1/1985,4235.464834,43785.533,9.999999926,17296.97717,20265.95276,1000,918.3013995,168498.7487,NaN,NaN,7696.785429,15562.66556,1543.479803,2030,2159,1568,1204,4233,1056,2080,288,14140,13200,2262.849589,5848,4806,16400,3248,4779.5,1881,4131,0,1543.479803,2030,2159,1568,1204,4233,1056,2080,288,14140,13200,5072,5848,4806,16400,3248,4779.5,1881,4131,0,5644.971189,1320,7238.481378,13914.29878,11471.48138,2275.493891,3000,11206.1468,7238.481378,119.8226781,1392.839542,0,6027.5,946.4119754,18066.74718,3748.435761,4069.891779,13054.29878,20525.14356,20852.27014,1105.923668,11880,0,225.7012175,0,15791.25329,2644.971189,265.3345778,6223.640083,7606.671212,870.0100473,0,2000,3068.838502,2785.522959,2279.064239,450,860,72.10972871,11176.16562,6750.894858,13200,7238.481378,14140,11471.48138,18066.74718,5644.971189,11471.48138,13462.12146,7726.493891,2262.849589,0,8027.5,4015.250477,20852.27014,6027.5,4519.891779,13914.29878,20597.25329,32028.43576,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
10/1/1985,4700.703725,46015.98448,7977.159288,18375.01886,21953.84308,2098.427626,1018.633879,162399.1957,NaN,NaN,2179.882987,17253.26415,1729.723733,81.2,127,19.6,0,0,0,0,0,5050,5775,0,1032,267,3075,232,7260,1197,486,0,1729.723733,81.2,127,19.6,0,0,0,0,0,5050,5775,0,1032,267,3075,232,7260,1197,486,0,6176.903717,577.5,450,4823.501627,0,5680.337623,3000,0,750,1393.801036,600,1888.45844,5492,3483.075918,6280.337623,3530.009543,4843.999651,3733.501627,735.2664773,8678.32596,1830.833305,5197.5,300,226.4983734,450,600,3176.903717,0,4377.302662,5350.036587,1288.45844,0,2000,1954.542459,2397.988337,1961.990457,450,1090,131.7335227,3124.183583,8007.737021,5775,750,5050,450,6280.337623,6176.903717,0,5127.302662,6743.837623,1888.45844,1888.45844,7492,5437.618377,8678.32596,5492,5293.999651,4823.501627,867,11802.50954,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
11/1/1985,4985.610866,48989.7978,15195.59824,19000.65932,23856.5167,3115.004445,3075.300286,165728.6183,NaN,NaN,3075.300286,19155.93776,1425.789852,0,0,0,0,0,0,0,0,3030,0,0,0,0,0,0,8954,1026,243,0,1425.789852,0,0,0,0,0,0,0,0,3030,0,0,0,0,0,0,8954,1026,243,0,5380.391616,0,3209.570617,2783.533798,2759.570617,10539.6331,3000,0,3509.570617,6313.005147,600,1921.078485,6954,3041.935849,11309.42257,6954,4017.725701,853.5337978,600,6954,1838.047338,0,300,246.4662022,450,769.7894634,2380.391616,2759.570617,3656.968327,4469.627956,1321.078485,735.5879217,2000,2931.87748,0,0,450,1930,169.7894634,0,7218.438954,0,3509.570617,3030,3209.570617,11309.42257,5380.391616,2759.570617,7166.538944,10782.6331,1921.078485,2656.666407,8954,5973.813328,11309.42257,6954,4467.725701,2783.533798,769.7894634,6954,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
12/1/1985,5070.767562,52067.80617,21620.96556,19625.70652,25473.75523,4007.879899,4371.71773,172882.8366,NaN,NaN,4371.71773,20773.1763,1124.304762,0,0,0,0,0,0,0,0,3030,0,0,0,0,0,0,3569.5,735.3,243,0,1124.304762,0,0,0,0,0,0,0,0,3030,0,0,0,0,0,0,3569.5,735.3,243,0,5020.001428,0,2106.610281,2809.493273,1656.610281,8732.186509,3000,0,2406.610281,4785.248283,600,1896.417444,1569.5,2538.221082,9459.018306,1569.5,3212.525844,1049.493273,600,1569.5,1405.365891,0,300,220.5067268,450,726.8317966,2020.001428,1656.610281,3428.131276,4189.938226,1296.417444,0,2000,3539.787281,0,0,450,1760,126.8317966,0,6425.367318,0,2406.610281,3030,2106.610281,9459.018306,5020.001428,1656.610281,5834.741557,8975.186509,1896.417444,1896.417444,3569.5,6078.008363,9459.018306,1569.5,3662.525844,2809.493273,726.8317966,1569.5,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
1/1/1986,5347.074722,54815.65043,27835.6304,20275.84222,27215.28083,4868.300608,5886.455814,187625.052,NaN,NaN,5886.455814,22514.7019,1106.242372,0,0,0,0,0,0,0,0,2020,0,0,0,0,0,0,1210,684,0,0,1106.242372,0,0,0,0,0,0,0,0,2020,0,0,0,0,0,0,1210,684,0,0,4722.750167,0,3395.223067,1820.651713,2945.223067,10658.44616,3000,0,3695.223067,6261.815018,600,2114.738083,3273.111835,2304.925042,11425.74542,0,2961.167414,1030.651713,600,0,1491.914673,0,300,199.3482869,450,767.2992546,1722.750167,2945.223067,3597.243665,4396.631146,1514.738083,0,2000,3442.919217,4000.47002,3273.111835,450,790,167.2992546,0,6214.66484,0,3695.223067,2020,3395.223067,11425.74542,4722.750167,2945.223067,7292.466731,10658.44616,2114.738083,2114.738083,5273.111835,5747.844258,15426.21544,3273.111835,3411.167414,1820.651713,767.2992546,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
2/1/1986,7175.478629,60404.55412,41719.1364,22510,33710.49347,7552.242849,16964.57246,227302,NaN,NaN,16964.57246,29009.91454,2374.298148,0,0,0,0,0,0,0,0,3030,0,0,0,0,0,0,1149.5,684,0,0,2374.298148,0,0,0,0,0,0,0,0,3030,0,0,0,0,0,0,1149.5,684,0,0,8418.609374,0,16502.22841,2781.360597,14422.9287,72455.41808,3000,0,16802.22841,40712.41543,600,11678.11665,20232.59455,3711.625104,75769.78463,20232.59455,5635.923252,2061.360597,600,20232.59455,5464.896622,0,300,248.6394033,2079.29971,3314.366551,5418.609374,14422.9287,25971.54762,31743.00264,11078.11665,0,2000,4877.278588,0,0,450,720,2714.366551,0,13883.506,0,16802.22841,3030,16502.22841,75769.78463,8418.609374,14422.9287,42773.77603,72455.41808,11678.11665,11678.11665,22232.59455,8588.903693,75769.78463,20232.59455,6085.923252,2781.360597,3314.366551,20232.59455,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
3/1/1986,8350,61260,73940,22510,51200,7870,88002.79632,227302.1243,NaN,NaN,88002.79632,46499.42107,6449.388127,0,0,0,0,0,0,0,0,3030,0,0,0,0,0,0,1210,684,0,0,6449.388127,0,0,0,0,0,0,0,0,3030,0,0,0,0,0,0,1210,684,0,0,56829.53211,0,91942.41983,2829.215643,84437.37966,190842.4396,29125.49189,41955.25705,96666.58958,137852.6535,10603.52434,37338.89097,135455.202,13874.05093,196942.8053,135455.202,15503.85688,2169.215643,600,135455.202,17346.58853,0,4724.169758,200.7843573,7505.040165,6100.36575,27704.04023,42482.12262,43355.27954,52989.7861,26735.36663,34299.33288,2000,16106.88684,0,0,4819.582177,660,5500.36575,0,74176.12065,0,96666.58958,3030,91942.41983,196942.8053,56829.53211,84437.37966,140021.8691,190842.4396,37338.89097,71638.22386,137455.202,29980.93777,196942.8053,135455.202,20323.43905,2829.215643,6100.36575,135455.202,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
4/1/1986,8350,61260,73940,22510,51200,7870,110150,227302.9322,NaN,NaN,66150,22400,0,0,0,0,0,249,66,130,0,5050,1650,0,344,267,1025,0,6594.5,684,0,0,0,0,0,0,0,249,66,130,0,5050,1650,0,344,267,1025,0,6594.5,684,0,0,107977.4686,1650,276325.8792,4699.435551,254582.5359,369250.2458,47311.9841,132085.6884,299049.3764,329974.5781,19293.08456,57047.48818,391834.9566,39911.37813,452364.0888,391834.9566,28159.92903,2559.435551,78944.22645,392859.9566,24195.5198,0,22723.49726,350.5644487,21992.34326,83113.84298,60665.48446,122496.8475,33484.63723,40925.66772,37754.40363,44552.2135,2000,7530.504262,0,0,11751.44909,2140,4436.616529,0,132172.9884,1650,299049.3764,5050,276574.8792,452364.0888,107977.4686,254582.5359,332534.0136,370900.2458,57047.48818,101599.7017,393834.9566,47441.88239,452364.0888,391834.9566,39911.37813,4699.435551,83380.84298,392859.9566,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
5/1/1986,8350,61260,73940,22510,51200,7870,110150,227304.0506,NaN,NaN,66150,22400,22204.56498,10962,1905,1862,1548,4482,1320,2600,216,9090,10725,5072,3784,4005,13325,3944,9256.5,1539,3159,0,22204.56498,10962,1905,1862,1548,4482,1320,2600,216,9090,10725,5072,3784,4005,13325,3944,9256.5,1539,3159,0,67532.52897,10725,160479.7481,8662.898008,149932.7662,237789.0327,53618.02769,94090.45772,173719.7701,204839.3443,25846.2007,39713.71031,228022.1631,40820.23163,302834.7664,228022.1631,54884.04457,6982.898008,65720.10435,241347.1631,28710.92875,0,13240.02195,427.1019915,15028.98191,65045.73374,13914.50128,55842.3085,38318.47227,46833.68832,18939.50961,30365.19404,2000,16235.79038,0,0,19102.75204,1680,3330.629391,0,96243.45772,10725,173719.7701,9090,164961.7481,302834.7664,67532.52897,149932.7662,212038.2424,251673.0327,44785.71031,70078.90435,230022.1631,57056.022,302834.7664,228022.1631,73986.79661,8662.898008,69050.73374,241347.1631,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
6/1/1986,8350,61260,73940,22510,51200,7870,110093.3288,227304.9287,NaN,NaN,66150,22400,16736.70894,13804,2921,2352,1806,5727,1650,3250,504,14140,14025,7291,5848,5340,22550,4872,6715.5,2223,4617,0,16736.70894,13804,2921,2352,1806,5727,1650,3250,504,14140,14025,7291,5848,5340,22550,4872,6715.5,2223,4617,0,30761.12604,14025,42660.93004,13573.78837,47637.48782,50460.41671,29097.54342,38626.84121,44542.61861,48979.24415,8143.303824,2508.906724,6587.5,25183.36086,51060.41671,5274.69094,41924.08372,11523.78837,4501.560356,27824.69094,10785.16517,0,1881.688566,566.211631,750.442225,600,1663.582621,9010.646608,16464.41391,20123.17256,1656.6029,8904.706612,5000,8900.521457,1604.544406,1312.80906,13799.98608,2050,1438.439644,0,41546.29121,14025,44542.61861,14140,48387.93004,51060.41671,30761.12604,47637.48782,61007.03252,69102.41671,9799.906724,11413.61334,11587.5,34083.88232,52664.96111,6587.5,55724.06981,13573.78837,5940,27824.69094,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
